,vert_tenue,horiz_tenue,vert_claro,horiz_claro
count,17.0,17.0,17.0,17.0
mean,198.23529411764707,207.35294117647058,177.64705882352942,161.1764705882353
std,60.542887084038114,60.21102595919474,73.86892206509327,65.46777384152226
min,80.0,120.0,80.0,60.0
25%,170.0,160.0,120.0,120.0
50%,190.0,210.0,160.0,160.0
75%,240.0,260.0,240.0,190.0
max,300.0,295.0,300.0,330.0
