,lower_bound,upper_bound
placebo,5.775601282137302,9.224398717862698
t1,3.6725572480689683,6.327442751931032
t2,3.249480865004354,5.417185801662312
t3,3.6219392306394873,6.711394102693847
t4,4.024515136969738,8.308818196363596
